# AHRD-Version 3.11

Protein-Accession	Blast-Hit-Accession	AHRD-Quality-Code	Human-Readable-Description	Interpro-ID (Description)	Gene-Ontology-Term
OG0015340	tr|A0A1S3CG35|A0A1S3CG35_CUCME	***	Cytochrome b561 and DOMON domain-containing protein		
OG0015341	tr|A0A0A0K1V3|A0A0A0K1V3_CUCSA	***	Cytochrome b561 and DOMON domain-containing protein		
OG0015342	AT5G47540.1	***	Mo25 family protein		
OG0015343	tr|A0A0A0K179|A0A0A0K179_CUCSA	***	Threonyl-tRNA synthetase		
OG0015344	tr|A0A1S3CG85|A0A1S3CG85_CUCME	***	exopolygalacturonase clone GBGA483		
OG0015345	tr|A0A5D3DDK3|A0A5D3DDK3_CUCME	***	Exopolygalacturonase-like		
OG0015346	tr|A0A1S3C0N1|A0A1S3C0N1_CUCME	***	rho GDP-dissociation inhibitor 1-like		
OG0015347	tr|A0A1S3C2C3|A0A1S3C2C3_CUCME	***	fasciclin-like arabinogalactan protein 7		
OG0015348	tr|A0A5A7V024|A0A5A7V024_CUCME	***	Fimbrin-5		
OG0015349	sp|P23137|GRP1_TOBAC	--*	Glycine-rich protein		
OG0003361	tr|A0A1S3B1G1|A0A1S3B1G1_CUCME	***	2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate hydrolase-like		
OG0003360	tr|A0A0A0KG87|A0A0A0KG87_CUCSA	***	Glycosyltransferase		
OG0003363	tr|A0A0A0KGR6|A0A0A0KGR6_CUCSA	***	C2H2-type domain-containing protein		
OG0003362	tr|A0A5D3CMY4|A0A5D3CMY4_CUCME	***	Prostatic spermine-binding protein		
OG0003365	tr|A0A2P5BFV3|A0A2P5BFV3_PARAD	***	Mitochondrial carrier protein		
OG0003364	tr|A0A6J1GF42|A0A6J1GF42_CUCMO	***	transcription factor MYB41-like		
OG0003367	tr|A0A0A0KG93|A0A0A0KG93_CUCSA	***	Asparagine synthetase [glutamine-hydrolyzing]		
OG0003366	tr|A0A1S3B1G6|A0A1S3B1G6_CUCME	***	CMP-sialic acid transporter 5		
OG0003369	tr|A0A0A0KK37|A0A0A0KK37_CUCSA	***	C2 domain-containing protein		
OG0003368	tr|A0A0A0KLX1|A0A0A0KLX1_CUCSA	***	DUF4057 domain-containing protein		
OG0017991	tr|A0A0A0KLS7|A0A0A0KLS7_CUCSA	***	Thioredoxin domain-containing protein		
OG0017990	tr|A0A1S3CF95|A0A1S3CF95_CUCME	***	cucumisin-like		
OG0015330	tr|A0A1S3CG05|A0A1S3CG05_CUCME	***	fasciclin-like arabinogalactan protein 2		
OG0017993	tr|A0A5A7UH67|A0A5A7UH67_CUCME	***	Zinc finger CCCH domain-containing protein 29-like		
OG0015331	tr|A0A5D3D726|A0A5D3D726_CUCME	***	SNF1-related protein kinase regulatory subunit beta-2-like isoform X1		
OG0017992	tr|A0A0A0KP13|A0A0A0KP13_CUCSA	***	Glycosyltransferase		
OG0015332	tr|A0A2P5ESH2|A0A2P5ESH2_TREOI	***	DnaJ domain containing protein		
OG0017995	tr|A0A1S3C5M1|A0A1S3C5M1_CUCME	***	40S ribosomal protein S26		
OG0015333	tr|A0A5A7UX46|A0A5A7UX46_CUCME	***	Transmembrane protein 256-like protein		
OG0017994	tr|A0A061FK95|A0A061FK95_THECC	***	Differentiation-associated protein 1, putative isoform 1		
OG0015334	tr|A0A5A7UYB6|A0A5A7UYB6_CUCME	***	Nuclear pore complex protein NUP133 isoform X2		
OG0017997	tr|A0A0A0KQU4|A0A0A0KQU4_CUCSA	***	50S ribosomal protein L23, chloroplastic		
OG0015335	tr|A0A1S3CG68|A0A1S3CG68_CUCME	***	calcium-transporting ATPase 12, plasma membrane-type-like		
OG0017996	tr|Q39625|Q39625_CUCSA	***	Expansin		
OG0015336	tr|A0A0A0K565|A0A0A0K565_CUCSA	***	Chlorophyll a-b binding protein, chloroplastic		
OG0017999	tr|A0A2P5DZQ0|A0A2P5DZQ0_PARAD	***	Hydroxyproline-rich glycoprotein family protein		
OG0015337	tr|A0A5D3D6Y7|A0A5D3D6Y7_CUCME	***	Pentatricopeptide repeat-containing protein		
OG0017998	tr|A0A061EA55|A0A061EA55_THECC	***	NAD(P)-linked oxidoreductase superfamily protein, putative		
OG0015338	tr|A0A0A0K6H7|A0A0A0K6H7_CUCSA	***	FAS1 domain-containing protein		
OG0015339	tr|A0A6J1EJU8|A0A6J1EJU8_CUCMO	***	WRKY transcription factor 1-like		
OG0003350	tr|A0A5D3CQL1|A0A5D3CQL1_CUCME	*-*	Homeobox-leucine zipper protein ATHB-6-like		
OG0003352	tr|A0A1S3B103|A0A1S3B103_CUCME	***	LMBR1 domain-containing protein 2 homolog A		
OG0003351	tr|A0A1S3B264|A0A1S3B264_CUCME	***	homeobox-leucine zipper protein ATHB-6-like		
OG0003354	tr|A0A1S3B222|A0A1S3B222_CUCME	***	tRNA (Cytosine(34)-C(5))-methyltransferase		
OG0003353	tr|A0A6J1BUY4|A0A6J1BUY4_MOMCH	***	40S ribosomal protein S6		
OG0003356	tr|A0A5A7T2C2|A0A5A7T2C2_CUCME	***	Polyadenylate-binding protein 2-like		
OG0003355	tr|A0A5D3CLL6|A0A5D3CLL6_CUCME	***	Ras-related protein Rab11A		
OG0003358	tr|A0A2P5A8J3|A0A2P5A8J3_PARAD	***	Transmembrane protein		
OG0003357	tr|A0A0A0KLV5|A0A0A0KLV5_CUCSA	***	Phospho-2-dehydro-3-deoxyheptonate aldolase		
OG0003359	tr|A0A5D3CQJ9|A0A5D3CQJ9_CUCME	***	Haloacid dehalogenase-like hydrolase domain-containing protein		
OG0017980	tr|A0A0A0KMR1|A0A0A0KMR1_CUCSA	***	TPT domain-containing protein		
OG0017982			Unknown protein		
OG0015320			Unknown protein		
OG0017981	sp|P49042|VPE_RICCO	***	Vacuolar-processing enzyme		
OG0015321	tr|A0A1S3CGH4|A0A1S3CGH4_CUCME	***	zinc finger protein CONSTANS-LIKE 9-like		
OG0017984	tr|A0A1S3ATQ1|A0A1S3ATQ1_CUCME	***	metalloendoproteinase 1-MMP		
OG0015322	tr|A0A1S3CFX9|A0A1S3CFX9_CUCME	***	RRP15-like protein		
OG0017983	tr|A0A0A0KKN6|A0A0A0KKN6_CUCSA	***	WAT1-related protein		
OG0015323	tr|A0A5A7UVW0|A0A5A7UVW0_CUCME	***	GBF-interacting protein 1-like isoform X2		
OG0017986	tr|A0A1S3AT58|A0A1S3AT58_CUCME	***	oxalate--CoA ligase-like		
OG0015324	tr|A0A6J1JFI0|A0A6J1JFI0_CUCMA	***	long chain acyl-CoA synthetase 8		
OG0017985			Unknown protein		
OG0015325	tr|A0A5D3D6W9|A0A5D3D6W9_CUCME	***	Ribulose-1,5 bisphosphate carboxylase/oxygenase large subunit N-methyltransferase		
OG0017988	AT5G01120.1	***	Protein of unknown function (DUF674)		
OG0015326	tr|A0A0A0K6E6|A0A0A0K6E6_CUCSA	***	Indole-3-glycerol-phosphate synthase		
OG0017987			Unknown protein		
OG0015327	tr|A0A6J1C720|A0A6J1C720_MOMCH	***	transmembrane emp24 domain-containing protein p24beta2		
OG0015328	tr|A0A1S3CGI9|A0A1S3CGI9_CUCME	***	Acetyl-CoA acetyltransferase 1		
OG0017989	tr|A0A5D3CZB3|A0A5D3CZB3_CUCME	***	Transcription termination factor MTERF5		
OG0015329	tr|A0A1S3CHH2|A0A1S3CHH2_CUCME	***	nudix hydrolase 7-like isoform X1		
OG0003341	tr|A0A1S3B1F2|A0A1S3B1F2_CUCME	***	mitochondrial uncoupling protein 5-like		
OG0003340	tr|A0A0A0KGN8|A0A0A0KGN8_CUCSA	***	UPF0029 domain-containing protein		
OG0003343	tr|A0A0A0KLT3|A0A0A0KLT3_CUCSA	***	B-like cyclin		
OG0003342			Unknown protein		
OG0003345	tr|A0A0A0KIT3|A0A0A0KIT3_CUCSA	***	GRAM domain-containing protein		
OG0003344	tr|A0A0A0KGP3|A0A0A0KGP3_CUCSA	***	Zinc finger homeodomain protein 1		
OG0003347	tr|A0A0A0KGP7|A0A0A0KGP7_CUCSA	***	Protein DETOXIFICATION		
OG0003346	tr|A0A6J1ITI1|A0A6J1ITI1_CUCMA	***	vegetative cell wall protein gp1-like		
OG0003349	tr|A0A0A0KLU4|A0A0A0KLU4_CUCSA	***	Mannan endo-1,4-beta-mannosidase		
OG0003348	tr|A0A0A0KIT7|A0A0A0KIT7_CUCSA	***	RING-type domain-containing protein		
OG0017971	AT4G23820.1	***	Pectin lyase-like superfamily protein		
OG0017970	tr|A0A1S3AU14|A0A1S3AU14_CUCME	***	ethylene-responsive transcription factor ERF061-like		
OG0015310	tr|A0A0A0K2Z8|A0A0A0K2Z8_CUCSA	***	Protein kinase domain-containing protein		
OG0017973	tr|A0A0A0KK57|A0A0A0KK57_CUCSA	***	Endoglucanase		
OG0015311	tr|A0A061E9I9|A0A061E9I9_THECC	***	Mitochondrial transcription termination factor family protein		
OG0017972			Unknown protein		
OG0015312	tr|A0A0A0K1P7|A0A0A0K1P7_CUCSA	*-*	AP complex subunit sigma		
OG0017975	tr|A0A5A7TMU0|A0A5A7TMU0_CUCME	***	Heavy metal-associated isoprenylated plant protein 3-like		
OG0015313	tr|A0A1S3CHE3|A0A1S3CHE3_CUCME	***	phototropin-2-like isoform X1		
OG0017974	tr|A0A2R6QN74|A0A2R6QN74_ACTCC	***	Heavy metal-associated isoprenylated plant protein		
OG0015314	tr|A0A0A0K115|A0A0A0K115_CUCSA	***	Histone deacetylase		
OG0017977	tr|A0A5A7TL97|A0A5A7TL97_CUCME	***	Puromycin-sensitive aminopeptidase		
OG0015315	tr|A0A5D3BW80|A0A5D3BW80_CUCME	***	Ankyrin repeat domain-containing protein 2B-like		
OG0017976	tr|A0A1S3AUA7|A0A1S3AUA7_CUCME	***	ubiquitin-conjugating enzyme E2 4-like		
OG0015316	tr|A0A0A0K518|A0A0A0K518_CUCSA	***	HTH myb-type domain-containing protein		
OG0017979	tr|A0A7J9IEF2|A0A7J9IEF2_9ROSI	***	C2 domain-containing protein		
OG0015317	tr|A0A0A0K1Q4|A0A0A0K1Q4_CUCSA	***	Glucose-1-phosphate adenylyltransferase		
OG0017978	tr|A0A1S3ATN7|A0A1S3ATN7_CUCME	***	cytochrome P450 86A7		
OG0015318	tr|A0A6A3CN14|A0A6A3CN14_HIBSY	***	Subtilisin-like protein protease		
OG0015319	tr|A0A2P5ER06|A0A2P5ER06_TREOI	***	Period circadian protein		
OG0015309	tr|A0A7J6WCY8|A0A7J6WCY8_THATH	***	Cysteine/Histidine-rich C1 domain family protein		
OG0005990	tr|A0A2P5FNF7|A0A2P5FNF7_TREOI	***	ATP-dependent DNA helicase		
OG0003330	tr|A0A1S3B1B8|A0A1S3B1B8_CUCME	***	protein SKIP34		
OG0005993	tr|A0A1S3BTA6|A0A1S3BTA6_CUCME	***	nuclear pore complex protein NUP43		
OG0005994	sp|Q8H1Q8|AT18B_ARATH	***	Autophagy-related protein 18b		
OG0003332			Unknown protein		
OG0005991	tr|A0A0A0LK45|A0A0A0LK45_CUCSA	***	DUF4220 domain-containing protein		
OG0003331	tr|A0A1S3B1Y8|A0A1S3B1Y8_CUCME	***	nicotinamidase 1		
OG0005992	tr|A0A0A0LH41|A0A0A0LH41_CUCSA	***	GDP-L-fucose synthase		
OG0003334	tr|A0A0A0KGN2|A0A0A0KGN2_CUCSA	***	O-fucosyltransferase family protein		
OG0005997	tr|A0A0A0LGN7|A0A0A0LGN7_CUCSA	***	5'-deoxynucleotidase		
OG0003333	tr|A0A0A0KJY3|A0A0A0KJY3_CUCSA	***	ATP binding protein		
OG0005998	tr|A0A1S3BUI1|A0A1S3BUI1_CUCME	***	protein FLX-like 4		
OG0003336	tr|A0A1S3B1C7|A0A1S3B1C7_CUCME	***	kinesin-like protein KCA1		
OG0005995	tr|A0A1S3BUY1|A0A1S3BUY1_CUCME	***	transmembrane protein 208 homolog		
OG0003335	tr|A0A1S3B1C2|A0A1S3B1C2_CUCME	***	MADS-box protein SVP-like		
OG0005996	tr|A0A5A7TIE6|A0A5A7TIE6_CUCME	***	Tetratricopeptide repeat protein 1		
OG0003338	tr|A0A5A7T455|A0A5A7T455_CUCME	*-*	GPI ethanolamine phosphate transferase 2		
OG0003337	tr|A0A0A0KGN4|A0A0A0KGN4_CUCSA	***	GPI ethanolamine phosphate transferase 2		
OG0005999	tr|A0A1S3BTP8|A0A1S3BTP8_CUCME	***	tetraspanin-8		
OG0003339	tr|A0A1S3B0Y8|A0A1S3B0Y8_CUCME	***	transcription factor bHLH131-like		
OG0015381	tr|A0A6J1GK58|A0A6J1GK58_CUCMO	***	CCR4-NOT transcription complex subunit 9-like isoform X1		
OG0015382	tr|A0A1S3C0Y0|A0A1S3C0Y0_CUCME	***	cellulose synthase-like protein B4		
OG0015383	tr|A0A1S3C0Y0|A0A1S3C0Y0_CUCME	***	cellulose synthase-like protein B4		
OG0015384	tr|A0A5N5GEW8|A0A5N5GEW8_9ROSA	***	Pentatricopeptide repeat-containing protein		
OG0015385	tr|A0A0A0K247|A0A0A0K247_CUCSA	***	DLH domain-containing protein		
OG0015386	tr|A0A061DTF6|A0A061DTF6_THECC	***	WRKY family transcription factor		
OG0015387	tr|A0A0A0K252|A0A0A0K252_CUCSA	***	Dirigent protein		
OG0015388	tr|A0A1S4E0F3|A0A1S4E0F3_CUCME	***	glycine-rich cell wall structural protein 1-like		
OG0015389	tr|A0A1S3C0R5|A0A1S3C0R5_CUCME	***	transcription factor MYB86		
OG0015380	AT1G05070.1	***	Protein of unknown function (DUF1068)		
OG0015370	tr|A0A6J1C765|A0A6J1C765_MOMCH	***	glucosidase 2 subunit beta		
OG0015371	tr|A0A061DW36|A0A061DW36_THECC	***	Basic-leucine zipper (BZIP) transcription factor family protein, putative		
OG0015372	tr|A0A6J1C3E6|A0A6J1C3E6_MOMCH	***	chromatin remodeling protein EBS-like		
OG0015373	tr|A0A0A0K1I7|A0A0A0K1I7_CUCSA	***	Beta-adaptin-like protein		
OG0015374	tr|A0A0A0K6T4|A0A0A0K6T4_CUCSA	***	Cupin_3 domain-containing protein		
OG0015375	AT2G32640.1	***	Lycopene beta/epsilon cyclase protein		
OG0015376	tr|B9SH40|B9SH40_RICCO	***	Receptor protein kinase, putative		
OG0015377	tr|A0A0A0K1J8|A0A0A0K1J8_CUCSA	***	RNase III domain-containing protein		
OG0015378	tr|A0A2I4DSF8|A0A2I4DSF8_JUGRE	***	ubiquitin fusion degradation protein 1		
OG0015379	tr|A0A1S4E196|A0A1S4E196_CUCME	***	fatty acid hydroperoxide lyase, chloroplastic		
OG0003390	tr|A0A1S3B270|A0A1S3B270_CUCME	***	aspartic proteinase-like protein 1 isoform X1		
OG0003392	AT5G10050.1	***	NAD(P)-binding Rossmann-fold superfamily protein		
OG0003391	tr|A0A5D3CQQ5|A0A5D3CQQ5_CUCME	***	MICOS complex subunit MIC60 isoform X2		
OG0003394			Unknown protein		
OG0003393	tr|A0A6J1BWI1|A0A6J1BWI1_MOMCH	***	E3 ubiquitin-protein ligase RHA2B-like		
OG0003396	AT4G35680.1	***	Arabidopsis protein of unknown function (DUF241)		
OG0003395	tr|A0A0A0KGV2|A0A0A0KGV2_CUCSA	***	RING-CH-type domain-containing protein		
OG0003398	tr|A0A6J1GD14|A0A6J1GD14_CUCMO	***	endochitinase-like		
OG0003397	tr|A0A5A7SN01|A0A5A7SN01_CUCME	***	Pentatricopeptide repeat-containing protein		
OG0003399	tr|A0A0A0KHG8|A0A0A0KHG8_CUCSA	***	Serine O-acetyltransferase		
OG0015360	tr|A0A6J1GLQ4|A0A6J1GLQ4_CUCMO	*-*	homeobox-DDT domain protein RLT2-like isoform X2		
OG0015361	tr|A0A5A7UT63|A0A5A7UT63_CUCME	***	Receptor-like protein kinase HSL1		
OG0015362	AT5G44160.1	***	C2H2-like zinc finger protein		
OG0015363	tr|A0A5K7YFK4|A0A5K7YFK4_CITRE	***	O-methyltransferase		
OG0015364	AT1G28510.1	***	Optic atrophy 3 protein (OPA3)		
OG0015365	tr|A0A0A0K3E5|A0A0A0K3E5_CUCSA	***	Glycosyltransferase		
OG0015366	tr|A0A5A7UT42|A0A5A7UT42_CUCME	***	Pentatricopeptide repeat-containing protein		
OG0015367	tr|A0A0A0K5E3|A0A0A0K5E3_CUCSA	***	Glycosyltransferase		
OG0015368	tr|A0A5A7V030|A0A5A7V030_CUCME	***	Glycosyltransferase		
OG0015369	AT2G31060.2	***	elongation factor family protein		
OG0003381	tr|A0A1S3B253|A0A1S3B253_CUCME	***	type I inositol polyphosphate 5-phosphatase 5-like		
OG0003380	tr|A0A061DQG6|A0A061DQG6_THECC	*-*	Tether containing UBX domain for GLUT4, putative		
OG0003383	tr|A0A0A0KGT7|A0A0A0KGT7_CUCSA	***	Inositol-3-phosphate synthase		
OG0003382	tr|A0A0A0KLZ0|A0A0A0KLZ0_CUCSA	***	Phosphoglycerate mutase (2,3-diphosphoglycerate-dependent)		
OG0003385	tr|A0A1S4DUA2|A0A1S4DUA2_CUCME	***	trafficking protein particle complex subunit 12		
OG0003384	tr|A0A6J1HGK3|A0A6J1HGK3_CUCMO	***	protein NEN4-like		
OG0003387	tr|A0A0A0KK62|A0A0A0KK62_CUCSA	***	L-ascorbate oxidase		
OG0003386	tr|A0A1S3B1L8|A0A1S3B1L8_CUCME	***	protein TAPETUM DETERMINANT 1-like		
OG0003389	tr|A0A6J1BU54|A0A6J1BU54_MOMCH	***	heavy metal-associated isoprenylated plant protein 23		
OG0003388	tr|A0A0A0KGU0|A0A0A0KGU0_CUCSA	***	Peptidylprolyl isomerase		
OG0015350	tr|A0A2I4H1C2|A0A2I4H1C2_JUGRE	***	glycine-rich protein-like		
OG0015351	tr|A0A5D3DDG8|A0A5D3DDG8_CUCME	***	Calcium-binding EF-hand family protein		
OG0015352	tr|O24512|O24512_CUCSA	***	Pathogen-induced protein CuPi1		
OG0015353	tr|A0A5A7UT52|A0A5A7UT52_CUCME	***	Transcription initiation factor TFIID subunit 6-like		
OG0015354	tr|A0A6J1GM50|A0A6J1GM50_CUCMO	***	protein IQ-DOMAIN 1		
OG0015355	tr|A0A1S3C1S5|A0A1S3C1S5_CUCME	***	Eukaryotic translation initiation factor 4C		
OG0015356	tr|A0A2P5FJ74|A0A2P5FJ74_TREOI	***	Nucleic acid-binding, OB-fold containing protein		
OG0015357	tr|A0A0A0K1Y9|A0A0A0K1Y9_CUCSA	***	DDB1- and CUL4-associated factor 13		
OG0015358	tr|A0A0A0K3C4|A0A0A0K3C4_CUCSA	***	26S proteasome non-ATPase regulatory subunit 2 homolog		
OG0015359	tr|A0A1S3C0L5|A0A1S3C0L5_CUCME	***	protein E6-like		
OG0003370	tr|A0A0A0KGS3|A0A0A0KGS3_CUCSA	***	Exostosin domain-containing protein		
OG0003372			Unknown protein		
OG0003371	tr|A0A6A1WS55|A0A6A1WS55_9ROSI	***	Tetratricopeptide repeat protein 1		
OG0003374	tr|A0A0A0KGS8|A0A0A0KGS8_CUCSA	***	VQ domain-containing protein		
OG0003373	tr|A0A0A0KK42|A0A0A0KK42_CUCSA	***	DUF1664 domain-containing protein		
OG0003376	tr|A0A0A0KGA0|A0A0A0KGA0_CUCSA	***	PLAT domain-containing protein		
OG0003375	tr|A0A1S3B131|A0A1S3B131_CUCME	***	protein SCO1 homolog 2, mitochondrial		
OG0003378	tr|A0A0A0KK50|A0A0A0KK50_CUCSA	***	Trehalose 6-phosphate phosphatase		
OG0003377	tr|A0A0A0KLY3|A0A0A0KLY3_CUCSA	***	PLAT domain-containing protein		
OG0003379	tr|A0A1S3B297|A0A1S3B297_CUCME	***	ethylene-responsive transcription factor ERF060		
OG0015392	tr|A0A0A0K6U7|A0A0A0K6U7_CUCSA	***	Aconitate hydratase		
OG0015393	tr|A0A0A0K5J6|A0A0A0K5J6_CUCSA	***	Protein DETOXIFICATION		
OG0015394	tr|A0A0A0K5J6|A0A0A0K5J6_CUCSA	***	Protein DETOXIFICATION		
OG0015395	tr|A0A0A0K262|A0A0A0K262_CUCSA	***	Protein DETOXIFICATION		
OG0015396	tr|A0A5D3C9U8|A0A5D3C9U8_CUCME	***	50S ribosomal protein L6		
OG0015397	tr|A0A2P5EE89|A0A2P5EE89_TREOI	***	Hexokinase-1 protein		
OG0015398	tr|A0A6J1HVX1|A0A6J1HVX1_CUCMA	***	sigma intracellular receptor 2-like		
OG0015399	tr|A0A1S3C111|A0A1S3C111_CUCME	***	homeobox-leucine zipper protein HDG2		
OG0015390	tr|A0A1S3C120|A0A1S3C120_CUCME	***	protein RRP6-like 3 isoform X1		
OG0015391			Unknown protein		
OG0003400	tr|A0A0A0KJL7|A0A0A0KJL7_CUCSA	***	B-like cyclin		
OG0003402	tr|A0A1S3B096|A0A1S3B096_CUCME	***	Phosphatidate cytidylyltransferase		
OG0003401	sp|P53994|RAB2A_MOUSE	***	Ras-related protein Rab-2A		
OG0003404	tr|A0A0A0KL52|A0A0A0KL52_CUCSA	***	AAA domain-containing protein		
OG0003403	tr|A0A2P5F0J0|A0A2P5F0J0_TREOI	***	Serine/arginine repetitive matrix-like protein		
OG0003406	tr|A0A1S3AZX1|A0A1S3AZX1_CUCME	***	sugar carrier protein C-like		
OG0003405	tr|A0A1S3B0R2|A0A1S3B0R2_CUCME	***	U3 small nucleolar RNA-associated protein 6 homolog		
OG0015420	tr|A0A5D3C9S0|A0A5D3C9S0_CUCME	***	Wound-responsive family protein		
OG0015421	tr|A0A1S4E0B6|A0A1S4E0B6_CUCME	***	pentatricopeptide repeat-containing protein At2g20710, mitochondrial-like		
OG0015422	tr|A0A1S3C0L9|A0A1S3C0L9_CUCME	***	bifunctional riboflavin kinase/FMN phosphatase-like		
OG0015423	tr|O49152|O49152_MAAAM	***	14-3-3 protein homolog		
OG0015424	tr|A0A1S3C1U7|A0A1S3C1U7_CUCME	***	heavy metal-associated isoprenylated plant protein 20		
OG0015425	tr|A0A6J1I0B2|A0A6J1I0B2_CUCMA	***	trihelix transcription factor ASIL1-like		
OG0015426	AT2G30990.2	*-*	Protein of unknown function (DUF688)		
OG0015427	tr|A0A1S3C0R3|A0A1S3C0R3_CUCME	***	F-box/LRR-repeat MAX2 homolog A		
OG0015428	tr|A0A0A0K5R8|A0A0A0K5R8_CUCSA	***	Peroxidase		
OG0015429	AT2G31560.2	*-*	Protein of unknown function (DUF1685)		
OG0015419	sp|B0JXB7|UCRI_MICAN	***	Cytochrome b6-f complex iron-sulfur subunit		
OG0003440	tr|A0A0A0K4U7|A0A0A0K4U7_CUCSA	***	NAC domain-containing protein		
OG0003442	AT2G17080.1	***	Arabidopsis protein of unknown function (DUF241)		
OG0003441	AT2G17080.1	***	Arabidopsis protein of unknown function (DUF241)		
OG0003444	tr|A0A5D3DIU1|A0A5D3DIU1_CUCME	***	Zinc finger protein ZAT3		
OG0003443	AT2G17080.1	***	Arabidopsis protein of unknown function (DUF241)		
OG0003446	tr|A0A1S3BHR3|A0A1S3BHR3_CUCME	***	40S ribosomal protein S11-like		
OG0003445	tr|A0A0A0K1K8|A0A0A0K1K8_CUCSA	***	Glutamate receptor		
OG0003448	tr|A0A0A0K6F8|A0A0A0K6F8_CUCSA	***	Phytochrome		
OG0003447	tr|A0A0A0K343|A0A0A0K343_CUCSA	***	Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase		
OG0003449	tr|A0A061DL19|A0A061DL19_THECC	***	Tetratricopeptide repeat-like superfamily protein		
OG0003429	tr|A0A5A7U3A1|A0A5A7U3A1_CUCME	***	Eukaryotic translation initiation factor 4B3		
OG0015410	tr|A0A6J1I025|A0A6J1I025_CUCMA	***	STOREKEEPER protein-like		
OG0015411	tr|A0A5A7TAD0|A0A5A7TAD0_CUCME	***	Transcription factor bHLH117		
OG0015412	tr|A0A0A0K3M7|A0A0A0K3M7_CUCSA	***	GRAS domain-containing protein		
OG0015413	tr|A0A5A7SKL7|A0A5A7SKL7_CUCME	***	BTB/POZ domain-containing protein		
OG0015414	tr|A0A5D3C7E2|A0A5D3C7E2_CUCME	***	G-type lectin S-receptor-like serine/threonine-protein kinase		
OG0015415	tr|A0A0A0K289|A0A0A0K289_CUCSA	***	Protein TIC 20		
OG0015416	tr|A0A1S3C0Q9|A0A1S3C0Q9_CUCME	***	Receptor-like serine/threonine-protein kinase		
OG0015417	tr|A0A5A7SLJ9|A0A5A7SLJ9_CUCME	***	Transcription factor WER-like		
OG0015418	tr|A0A1S3C0B0|A0A1S3C0B0_CUCME	***	transcription factor WER-like isoform X2		
OG0015408	tr|A0A1S3C222|A0A1S3C222_CUCME	***	Beta-amylase		
OG0015409	tr|A0A5N5GDV6|A0A5N5GDV6_9ROSA	***	Pentatricopeptide repeat-containing protein		
OG0003431	tr|A0A5D3CJF9|A0A5D3CJF9_CUCME	***	Auxin transporter-like protein 2		
OG0003430	tr|A0A0A0K5X1|A0A0A0K5X1_CUCSA	***	U6 small nuclear RNA (adenine-(43)-N(6))-methyltransferase		
OG0003433	sp|Q94F47|UBC28_ARATH	***	Ubiquitin-conjugating enzyme E2 28		
OG0003432	tr|A0A1S3BI29|A0A1S3BI29_CUCME	***	protein NUCLEAR FUSION DEFECTIVE 4-like		
OG0003435	AT4G35100.2	***	plasma membrane intrinsic protein 3		
OG0003434	tr|A0A1S3BIL5|A0A1S3BIL5_CUCME	***	heavy metal-associated isoprenylated plant protein 26-like		
OG0003437	tr|A0A0A0K619|A0A0A0K619_CUCSA	***	Mechanosensitive ion channel protein		
OG0003436	AT2G16900.1	***	Arabidopsis phospholipase-like protein (PEARLI 4) family		
OG0003439	tr|A0A1S3BHX1|A0A1S3BHX1_CUCME	***	expansin-like A2		
OG0003438	AT4G35160.1	***	O-methyltransferase family protein		
OG0003419	tr|A0A1S3BIT9|A0A1S3BIT9_CUCME	***	zinc finger CCCH domain-containing protein 19		
OG0003418	AT4G39070.1	***	B-box zinc finger family protein		
OG0015400	tr|A0A5B6V0U6|A0A5B6V0U6_9ROSI	***	Actin-related protein 8		
OG0015401	tr|A0A6J1GJN9|A0A6J1GJN9_CUCMO	***	protein translation factor SUI1 homolog		
OG0015402	tr|A0A0A0K6V6|A0A0A0K6V6_CUCSA	***	Ubiquitin-like domain-containing protein		
OG0015403	tr|A0A5D3C719|A0A5D3C719_CUCME	***	Ubiquitin domain-containing protein		
OG0015404	tr|A0A0A0K269|A0A0A0K269_CUCSA	***	Peroxidase		
OG0015405	tr|A0A1S3C0E8|A0A1S3C0E8_CUCME	***	zinc finger CCCH domain-containing protein 40 isoform X1		
OG0015406	tr|A0A1S3C0F2|A0A1S3C0F2_CUCME	***	peroxisome biogenesis protein 22-like isoform X1		
OG0015407	tr|A0A5D3C9V8|A0A5D3C9V8_CUCME	***	Cysteine-rich repeat secretory protein 38-like		
OG0003420	tr|A0A5D3DFB3|A0A5D3DFB3_CUCME	***	Kinesin-like protein		
OG0003422	tr|A0A5D3BCM9|A0A5D3BCM9_CUCME	***	Epimerase family protein SDR39U1-like protein		
OG0003421	tr|A0A0A0K141|A0A0A0K141_CUCSA	***	30S ribosomal protein S31, mitochondrial		
OG0003424	tr|A0A0A0K2E7|A0A0A0K2E7_CUCSA	***	ATP synthase subunit e, mitochondrial		
OG0003423	tr|A0A6J1C3Y9|A0A6J1C3Y9_MOMCH	***	ubiquitin recognition factor in ER-associated degradation protein 1-like		
OG0003426	tr|A0A0A0K5W2|A0A0A0K5W2_CUCSA	***	Alkaline/neutral invertase		
OG0003425	tr|A0A1S3BIQ0|A0A1S3BIQ0_CUCME	*-*	auxin-responsive protein SAUR21-like		
OG0003428	AT2G21120.1	***	Protein of unknown function (DUF803)		
OG0003427	tr|A0A2P5ED05|A0A2P5ED05_TREOI	***	Transmembrane protein		
